text,label
Is Erika Kirk on the Artemis 2 with Charlie Kirk's remains to perform a secret ritual on the moon? Find out in my next podcast.,Conspiratorial
"Welcome home, Integrity!!!! Artemis2 NASA",Neutral
"Truthful ast Asinine comments asides, Would a manned lunar flyby mission (like Artemis 2) really be necessary? seems pointless. Might be better to enter the lunar orbit and test out all capsule capabilities needed for the landing if the mission already takes you this close to the moon.",Critical/Skeptical
Artemis 2 now on the 3 Day Trip Home very cool dudes !,Enthusiastic
"Asia , Africa and Oceania can now look at the moon and know 4 astronauts are looking at you now. ArtemisII That made me crying face",Enthusiastic
Artemis 2 Milestones Shape the Future: Many Firsts and Records Broken in 2026,Neutral
"also i ADORE how positive everyone always is, praising and complimenting each other every chance they get, making everyone smile or laugh, it's truly beautiful artemis2",Enthusiastic
WELCOME HOME ARTEMIS 2 CREW WOOOOOOOOOOOOOOOO,Enthusiastic
"Timcast Watched starship, thought. That's awesome as fuck! Watched artemis 2 and thought. The fuck is this! Comparing those really shows how far spacex is to everything else",Critical/Skeptical
moon NASA Launch Rocket Live Artemis 2 view. (In space real time animation),Neutral
Astronauts like being in space that checks out. ArtemisII,Enthusiastic
"So what... lost communication at the other side of the Moon, but soo close to the original Signal! More like Grey intellectual lifeforms ""troubleshooting"" the signal! Session!!! Hashtag MDMA Greys second favourite substance after Meth! Greys moon artemis2 loop",Conspiratorial
What an incredible page of History! I can't believe that I witnessed that! red heart globe showing Americas rocket full moon rocket globe showing Americas ArtemisII,Enthusiastic
"NASA Hey guys, Are you willing to communicate with me if I have any questions regarding the Artemis 2 mission?!...what is happening right now needs to be up for discussion as it is amazing! raising hands",Enthusiastic
"Since Artemis 2 is headed for the moon, I wanna from the “we didn’t land on the moon” crowd. Why do you think this, despite all scientific evidence supporting the fact that we did land? conspiracytheory",Neutral
police car light NASA’s Artemis II mission successfully launches towards the Moon. Crewed Orion spacecraft is now on its way for the first human lunar flyby in decades – a historic step back to the Moon. Full comparison & details here: NASA ArtemisII Artemis MoonMission SpaceExploration LunarReturn,Neutral
If you’re feeling in a particularly space-y mood after ProjectHailMary and the ArtemisII launch might I recommend a little show called ForAllMankind,Enthusiastic
This is what the power of the US should be focused on. Advance human achievements and exploration of the outer world. Not on stupid oil war and destruction of society! artemisII moon lunch 2026 NoToWarWithIran StopwarOnİran,Enthusiastic
"First crewed lunar mission in 54 years. Four astronauts. One Orion spacecraft. A 10-day journey that proves we’re not done exploring. In a week full of noise, this is the reminder we needed: humanity still dreams big and actually delivers. full moon fire ArtemisII NASA Moon2026",Enthusiastic
Good luck artemis 2 crew blue heart red heart,Enthusiastic
even though ik it’s routine the 40 minutes we lose contact with the artemis 2 crew is gonna have me nervous af,Enthusiastic
"Y’know I’d never really been that interested in space as a youngster but now, in my 50s, it’s the coolest thing ever. I can’t wait to go through all of the media clips. It’s just amazing. I’m so glad I got to see it. rocket first quarter moon ArtemisII",Enthusiastic
Artemis 2 astronauts break record for travelling furthest from Earth,Neutral
livewithmecfs I’m grateful the crew of Artemis 2 made it back safely to earth!,Enthusiastic
"NASA, can you pretty please re-stock the Artemis II Mission enamel pins pleading face folded hands light skin tone NASA NASAArtemis NASA ArtemisII Artemis2",Enthusiastic
ArtemisII. The diversity lens is a absolute bollocks here tbh,Critical/Skeptical
"Artemis 2 yesterday, the devil wears prada today, top surgery tomorrow.. what a start of the week!!!",Enthusiastic
First mission to the moon in 53 years. They won't land on it but paving the way. artemisII,Neutral
Artemis 2 blasts into space on historic lunar mission,Neutral
The fact that Gen X now holds the record for furthest travel from the Earth rest of humanity is totally on brand. genx NASA artemis2,Neutral
First time in the history of mankind! Just dwelling on that fact gives me goosebumps. full moon full moon ArtemisII,Enthusiastic
"That's AI.. I'm now convinced that we've never been past the firmament. I still leaned towards the idea of space, however with all the fakery that went on with Artemis 2, I have no doubt we've never been. The real adventure is to the lands past the Antarctica ice wall. Thats what they're trying to hide! I'm convinced there's still more to see on this plane we call Earth.",Conspiratorial
Watch: Astronauts begin Nasa's Artemis 2 lunar mission after climactic blast-off lunarmission,Neutral
"EricTrump rookisaacman Hell yeah! America blasting back to the Moon on the most powerful manned rocket ever — Artemis II is pure American muscle! Congrats rookisaacman the NASA warriors. Godspeed, let's dominate space again! United States rocket ArtemisII",Enthusiastic
"Thanks, Commander Wiseman! One of the names Rise carried was mine. Our hearts and dreams traveled with you, and now they’ve found their way back home! smiling face with heart-eyes sparkling heart bouquet rocket sparkles Argentina ArtemisII",Enthusiastic
"Artemis 2, my grandpa would never believe me if I told him I’m watching the cabin crew live on their way to the moon",Enthusiastic
Dad and I monitoring the situation on flight aware and live stream artemisII,Enthusiastic
"This Artemis 2 crew return livestream is a try not to cry challenge, and I am failing. loudly crying face",Enthusiastic
"Highlights: Artemis II astronauts splash down safely after NASA moon mission Just, awesome. ArtemisII splashdown NASA CSA ESA Science Moon via nbcnews",Enthusiastic
"oddeyecircl67 id:sohyunsitaa congratulations to the artemis 2 team for being part of this historic 10 day sleepover, you bring hope to all the people and I'm going to miss watching you on the space face holding back tears",Enthusiastic
I was expecting higher resolution views from the Artemis 2 capsule. SpaceX is way ahead in this capability.,Critical/Skeptical
"All you have to do is a quick Google search on those missions, and it clearly states each mission’s distance in miles. The Apollo missions were similar, but since they were designed to orbit and land on the moon, they did not go the distance Artemis 2 went for a lunar flyby. Do you actually think Collins was as far out as Artemis 2 while orbiting the moon waiting for the other two astronauts? Can you honestly say that with a straight face? Besides, you’re the only one who’s actually naming Apollo missions. Most of the Goyim on this post don’t even know the difference between a lunar flyby and the Apollo missions themselves.",Conspiratorial
ArtemisII Thatwe have matched (apparently) the achievements of the 1960's is embarrassing tbh - if that was true tbh,Conspiratorial
BBC tell the inside story of the ArtemisII mission for new documentary special. More details:,Neutral
Will there be another livestream today/tonight from nasa ...Anyone? Artemis2 Moon,Neutral
GODSPEED ARTEMIS 2!!!!!!!!!!!!!!!!!!!! IM EMOTIONAL,Enthusiastic
Great to see some photos from the Science Evaluation Room at NASA JSC where the bulk of the science team for ArtemisII had been working. Can’t wait to be in the room for the first Artemis surface mission!!! rocket,Neutral
All 4 astronauts on the Artemis 2 are out of the capsule.,Neutral
Seeing planet earth and then looking up other planets and seeing what they look like makes me think there is definitely other lives on other planets thinking face double exclamation mark artemisII planets astronauts NASA,Neutral
Osint613 Just watch nasa’s live artemis 2 stream. They broadcast everything with communication with orion there.,Neutral
"NASA’s Artemis II crew safely returns after the farthest human Moon flyby ever. Meanwhile, talk of orbital data centers heats up as SpaceX eyes new frontiers for AI infrastructure. TechNews ArtemisII NASA SpaceTech MoonMission",Neutral
NASA’s Artemis II crew sets new distance record NASA ArtemisII SpaceExploration MoonMission Astronauts DeepSpace OrionSpacecraft SLS Apollo13 SpaceNews MoonBase MarsMission ScienceNews,Neutral
I hope you all see the Artemis 2 going up into space. Humans going to the moon again is so cool,Enthusiastic
nicksortor Very special hello to Artemis 2,Enthusiastic
Discussed on The Katie McGrady Show: Naming a Crater NASA ArtemisII moon LunarFlyby,Neutral
"Artemis 2 is back in contact after they passed the moon, I can sleep now. sleeping face",Neutral
Video of live ArtemisII launch coverage on DeutscheWelle with NASAWatch editor KeithCowing and DW science journalist Sushmitha Ramakrishnan,Neutral
"EARTHRISE! Glad you made it around the Moon, Artemis 2! Safe travels home! NASA Artemis Space",Enthusiastic
Spectacular launch of Artemis 2. Truly a modern day miracle.,Enthusiastic
NASA Why don't these spacemen get on with their work on the moon instead of sending back pictures every 5 minutes for clout and taking their rocket for a spin around the earth? artemisii,Critical/Skeptical
I’ve just been experiencing so much moonjoy all day. This is everything I dreamed it would be. I’m so lucky to be part of the Artemis Generation artemisii,Enthusiastic
The ArtemisII returned to Earth safely and Rory’s leading themasters What a great day. rocket flag in hole,Enthusiastic
Enjoy the beautiful day on your home planet. ArtemisII,Enthusiastic
They got Nightvision on Big Brother but not on the Artemis2 Camera grinning squinting face grinning squinting face grinning squinting face,Critical/Skeptical
RobLogic Men does anyone still believes in this Artemis 2 BS,Conspiratorial
Come on. Go to the better view. ArtemisII,Critical/Skeptical
"SanAnChip forallcurious Notice something in the real photo? The suns not there, in the Artemis 2 photos the sun is there. And you think the cameras are going to be exposed to the stars? If that was the case then you wouldn’t be able to make out the moon, it would look like a white ball.",Conspiratorial
TheFlatEartherr Artemis 2 was fake. Why people think it was real...,Conspiratorial
"DramaAlert The anxiety is real, even for the Artemis 2 crew. Makes you wonder about the true risks of deep space exploration.",Enthusiastic
Do you think the Artemis II crew told their family and friends that they love them to the moon and back? randomthoughts artemisII nasa,Neutral
"I’m not crying watching the astronauts emerge, YOU are smiling face with tear ArtemisII",Enthusiastic
rocket Congratulations NASA ArtemisII HumanSpaceflight rocket satellite sparkles telescope,Enthusiastic
AndrewKolvet BarackObama danpfeiffer Fake AF just like Artemis 2,Conspiratorial
elonmusk Please be honest and transparent. Did you sign an NDA to not discuss the NASA Artemis 2 mission? I can't help but think you would have pulled this off way better. This coverage (i.e. lack of LIVE FEEDS) is a true embarrassment to the USA.,Critical/Skeptical
"Artemis 2 getting out of capsule United States trump military emotional nasa ... the world is round and we are going back to the moon, boys and girls",Neutral
The artemis 2 astronauts told me i can do whatever the fuck i set my mind to,Enthusiastic
Welcome home integrity! artemis2,Neutral
NASA's Artemis II has launched! Four astronauts are heading to the Moon for the first time in over 50 years. This is a historic moment for space exploration and humanity's return to deep space. Wishing the crew a safe journey! Artemis2 NASA Moon,Enthusiastic
Artemis 2 I’m rooting for you,Enthusiastic
"IcyVert They were not on holidays , Artemis 2 mission had a different objective",Neutral
Artemis 2 in good shape cruising towards the moon via SpaceNews Inc,Neutral
Godspeed Colonel Jeremy Hansen. Canada You make us do very proud. Canada ArtemisII,Enthusiastic
elonmusk why didn't you help NASA NASA why using a primitive way to retrieve astronauts ? Space X has a ship to pull up the entire Artemis 2 onboard feelingamused,Critical/Skeptical
"rloewe65 Frank Zzm apollo 13 is the current record holder at 248,655 miles, not 17. artemis 2 is projected to make it to about 250,000 miles if all goes well. get your facts straight before opening your mouth",Neutral
"RepAdamSmith Yay, Artemis 2 has successfully splashed down!! Stop your TDS for a bit and try to be patriotic. United States",Enthusiastic
What the hell was wrong with the video coverage of Artemis 2? Here’s the video from Artemis 1. They had cameras everywhere.,Critical/Skeptical
THESE ARE THE HUGGIEST PEOPLE ALIVE. red heart ArtemisII,Enthusiastic
"I was listening very closely to POTUS with his little speech. Surprised at his comments. Those comments about Artemis 2. ""MEN ARE ON THE WAY TO THE MOON FOR THE FIRST TIME EVER. GOING FARTHER THAN MEN HAVE EVER GONE BEFORE"" WAIT. 1969-72 didn't happen? Is that the story? flushed face face screaming in fear thinking face",Conspiratorial
“Invest in togetherness” ArtemisII,Neutral
This is the best televised life experience. Congratulations NASA orion ArtemisII,Enthusiastic
"Tyarchak kiruti gidikariuki terrikibiriti When Apollo 13 did their trans lunar burn they aimed lower because they were positioning for a low orbit from which they would be landing. Artemis 2 is a test flight of a new vehicle, so taking longer and going higher is a test of its capabilities.",Neutral
"ThirdPlanettt ulalaunch NASAArtemis BoeingSpace Apollo also had a mission (7) before Apollo 8 that didn’t even leave low earth orbit at all…for two weeks. That considered, Artemis 2 is, if anything, LESS cautious than Apollo on this front.",Neutral
"On March 31st, Christina Koch, Victor Glover, Reid Wiseman, and Jeremy Hansen were all normal people no one knew about. 10 days later, they are American and Worldwide hero’s. What an incredible journey and experience this has been for everyone. NASA | ArtemisII",Enthusiastic
"Heard the Artemis2 launched today with a diverse crew. 3 white people and a Black American. VictorGlover, roots in Mississippi. Doing a Moon lunar mission for 1st time since the 1960s",Neutral
NASA Artemis 2 TLI Burn TO THE MOON Coverage w/ Today In Space,Neutral
"Give Reid Wiseman, Victor Glover, Christina Koch, and Jeremy Hansen ALL the time in the world to decompress and recover. We will wait until they're 100% okay. ArtemisII FantasticFour NASA",Neutral
Our crew is out of the Integrity capsule! Woo!! Welcome back to gravity and welcome home! ArtemisII NASA,Enthusiastic
check mark button Trending News | From Moon orbit to Pacific splashdown: Artemis II crew completes landmark journey ArtemisII NASA MoonMission SpaceExploration PacificOcean Astronauts SpaceNews BreakingNews NewsEiSamay,Neutral
humperdinck1919 Mookafish shrugdeaIer The entire Artemis program is behind schedule. Artemis 1 was supposed to launch in 2016. Artemis 2 was supposed to launch 2021. Starship HLS was only contracted in 2021.,Critical/Skeptical
"PopBase We love you right back, from Earth and the ISS, and everywhere in between. Safe travels around the far side—see you on the other side, crew! rocket red heart ArtemisII",Enthusiastic
A successful TLI burn and ArtemisII is off to the Moon! full moon,Neutral
"""You Watched ANIMATION!!"" - Artemis 2 REAL or FAKE Moon Mission?! via YouTube",Conspiratorial
Why doesn’t a helicopter take the ArtemisII capsule to land? Instead of trying to balance all of this in the water?,Neutral
"I’ve gathered and visualized data from the Artemis II mission at It’s an interactive, cockpit-style breakdown of the flight path and key milestones. Hope this helps you follow along as the crew orbits the Moon! rocket nasa artemis2 usa NASAArtemis NASA",Neutral
"Can anyone kindly tell me, what was the objective of the Artemis 2 mission? Don't talk about space expeditions. I'm talking about manned expeditions. I've listened to Steven Weinberg and other scientists...where they are against human expeditions. It's way more expensive, risky. Any unmanned expedition can carry out the same experiments (probably way more, as no human life is at danger), in much less cost. LunarMission artemis",Critical/Skeptical
NASAArtemis lookner I'd be all smiles too knowing I had a working toilet after 10 days of space food rolling on the floor laughing Welcome home Artemis 2!!,Enthusiastic
"I believe people who believe that the moon landing has never happened are low IQ people listening to other low IQ people. Most believe every word in the Bible, but can’t believe four little men made it to the moon… make it make sense. artemisii",Neutral
I hope the Artemis 2 crew gets blasted with cosmic rays but only if they get superpowers from it,Conspiratorial
Artemis 2 is a LIE | We Never Went to the Moon via YouTube,Conspiratorial
Inspiration for Women and girls ChristinaKoch ArtemisII Astronaut,Enthusiastic
VerminusM Artemis 2 is just a routine maintanence check on the Jewish space laser on the moon.,Conspiratorial
"NASA sent humans to the Moon on April Fools Day and it wasn't even a prank four astronauts. one rocket. zero jokes. well, one joke. the date. full moon rocket \ArtemisII",Enthusiastic
AntonioSabatoJr The Artemis 2 has great air conditioning. I wonder what the lightbulbs are made out of. They were still intact as well.,Neutral
The astronauts of Artemis 2 are doing a lot of in-flight system tests right now and relaying info back to command,Neutral
“We will see you in the other side” Orion ArtemisII,Neutral
"why am i so emotional abt the artemis 2, oh god i love space",Enthusiastic
Daveisnotbob LionelMedia grok artemis 2 rocket vs. Falcon nine power?,Neutral
"NayanUnfiltered elonmusk Mr Musk when are you going to give us a real lunch of a spaceship that actually looks like we are progressing unlike the Artemis 2 program and take us to the moon, Mars and beyond",Critical/Skeptical
The Crew of Artemis-2 have just had their wake up call. 1 hour till Perigee Raise Burn Artemis2 Artemis NASA Orion Space,Neutral
"Javedakhtarjadu The lunar surface is not the end of the Universe, and so isn't the FARTHEST. In fact, you can continue to go farther and farther. In 1970, Apollo13 went 248,655 miles from Earth (beyond the Moon), while Artemis2 went the farthest at 252,756 miles. Armstrong was on Apollo11",Neutral
To us humans on earth seeing the moon online is not that special anymore but imagine you’re an astronaut and you’ve realised you’ve left the fucking earth and you’re hovering over the moon. Id lose my mind out of anxiety artemisII,Enthusiastic
"Loving watching the ArtemisII post splashdown extraction, live streamed on the Nokia N73! rolling on the floor laughing",Critical/Skeptical
"Congratulations! This is a triumph of our Tram unity. We have turned this into a magnificent victory. Artemis 2 is a massive success. Now, this is our complete Tram unity United States rocket",Enthusiastic
Fly Artemis 2 around the moon and back so the next one can make it there amen,Neutral
How exactly does it work? The heat we experience on Earth can be intense—so isn’t there an even higher level of heat in space? Then how does this capsule survive it? Just asking. artemis2 Nasa SpaceNews,Neutral
cannot express in words how much joy Artemis 2 has brought me the names of my loved ones travelling to the moon picture of everything I've ever loved and everything I'll love in one frame the beauty of the Moon it's all we have face holding back tears face holding back tears face holding back tears face holding back tears,Enthusiastic
The new photos from Artemis 2 are so pretty pleading face,Enthusiastic
FoxNews I guess the mission Artemis 2 is something of a backup strategy in disguise against Iran where the warheads or something else will rain down of Iran from space. iraninarabic ir,Conspiratorial
craft landed. Everybody is out. rocket clapping hands light skin tone clapping hands light skin tone clapping hands light skin tone NASA artemisII,Enthusiastic
"Nuclear electric propulsion offers excellent fuel efficiency via continuous low-thrust ion drives powered by a nuclear reactor. But for the short Earth-Moon hop (Artemis 2's ~4-day free-return coast), that low thrust means a slow spiral acceleration from orbit—likely weeks, not days. Chemical rockets are still faster here. NEP shines for deep-space hauls like Mars, slashing transit from 6+ months to as little as 45 days.",Neutral
Haven’t seen this level of community on the timeline since Game of Thrones Sundays in 2019 ArtemisII,Neutral
SaycheeseDGTL Talk about social distancing! The ArtemisII crew just set the all-time record for the furthest humans from Earth. Looking good out there!,Enthusiastic
"PlatoonPod Artemis 2 is like a CGI, DEI film remake. We preferred the original.. at least it had practical effects",Conspiratorial
"simonateba Artemis 2 cost to the American taxpayer in excess of 4 billion dollars. In 2024 the U.S. spent nearly 80 billion dollars across all space programmes, that’s money well spent zany face",Critical/Skeptical
Congratulations NASA for a successful launch of their new Artemis II rocket heading towards the moon to circumnavigate it then head back to earth for the first time in over 50 years.. NASA ArtemisII CapeCanaveral Florida America History Earth Historical Moon Space USA,Enthusiastic
There could be a primer issue with the toilet pump. Not a blockage. They are go for suit drying termination. Air filter barrier removal for the toilet. Power cycling the toilet. The urine hose may be removed from the cradle. ChristinaKoch ArtemisII NASA Ingenuity NASAtv,Neutral
RealAlexJones Alex speaking of brain chips supposedly in the Artemis 2 they have some type of Chip with human cells in it that would allow them control whatever the chip is in especially made for human check it out,Conspiratorial
RealTamie grok which president signed the Artemis 2 project into operation,Neutral
Artemis 2 is even faker and more scrpted than wwe...guys supposedly are in space recording themselves but for some reason cant record the earth or moon from their windows. We dont want to see the astronauts just the moon ffs.,Conspiratorial
"I live in Hutchinson, KS. The the cosmosphere makes any local and school child here a built in space fan. ArtemisII was a cool thing to behold, however with the difficulties to get here, it makes me wonder how Apollo was so successful over 50 years ago.",Enthusiastic
We love you from the moon full moon artemis2,Enthusiastic
Astronaut Christina Koch of ArtemisII: We will always choose Earth. We will choose each other.,Neutral
elonmusk You said Starship would need 8 to 10 refuels one way to the moon. Artemis 2 is a better rocket then? Hahaha...India landed on the moon rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing Retarded sheep if you believe any of this,Conspiratorial
Kid in me screams in excitement smiling face with heart-eyes smiling face with heart-eyes Artemis2 NASA Moon,Enthusiastic
The Artemis 2 crew get in good…… Das Good.,Enthusiastic
Congratulations Artemis2 Science and engineering won NASA,Enthusiastic
so are we just not talking about the fact that dsn has no telemetry from NASAArtemis as of right now and hasn’t for like…15 min? and there’s nothing on the live stream and NSN doesn’t have anything either…. orrrrrrr? NASA Events NASA comms nasa artemis2,Critical/Skeptical
JimFergusonUK So this is the plan. Artemis 2 gets abducted in space,Conspiratorial
Artemis 2 managed to bring up my astronomy interests and made me want to sign up to learn more about it again like last year hehe,Enthusiastic
Looked up at the beautiful full moon tonight and it hit me that there are people on their way there RIGHT NOW!! Science is awesome and life is wild!! ArtemisII,Enthusiastic
Just asking for a friend anyone in the west Coast see this thing shooting thru the sky upon re-entry?? Anyone?? ArtemisII,Neutral
the artemis 2 really reignited my love for science and engineering only for me to see my grades and regret my stupid chungus life.....,Enthusiastic
Houston we have a problem ... toilet's broken: NASA ArtemisII bathroom space moon moonmission,Neutral
Artemis 2 is like a ' where were you moment? ' A part of history in the making. I was in the workplace bathroom on my phone.,Enthusiastic
"NASA NASAArtemis rocket Historic success! Artemis II crew safely splashed down after the first crewed lunar flyby in over 50 years. Welcome home, astronauts! Moon missions are back. Onward to Artemis III. ArtemisII",Neutral
God is great. Artemis2 art002e009288 via NASA,Enthusiastic
RossCol80182129 TrueEarth2 I wonder why nobody’s posting any screenshots they’re taking from their telescopes of the Artemis 2. Only because it’s fake and impossible.,Conspiratorial
Genuinely so awesome to see Artemis 2 end safely and be more of a PR success than I ever thought possible,Enthusiastic
ARTEMISII i love space flight !!!! i love pushing bounds of humanity !!!!,Enthusiastic
"rocket The ArtemisII launch just made history, not only as the first crewed lunar mission in 50+ years, but also as a top-tier livestreaming event globe showing Europe-Africa 10M+ peak viewers satellite antenna Most-watched NASA launch ever chart increasing One of the biggest streams globally Read more backhand index pointing down",Enthusiastic
"Javedakhtarjadu No, do you research before you tweet daft shite, the artemis 2 is taking a wider orbit around the moon than apollo did",Neutral
